Wvl,Sample_4,Sample_5
504,0.050318221,0.265011259
505,0.051057928,0.265986129
506,0.051747766,0.26679391
507,0.052453193,0.267740137
508,0.053206246,0.268883708
509,0.054042558,0.269754422
510,0.054887402,0.270633053
511,0.055784451,0.271741914
512,0.056771019,0.272801223
513,0.057766523,0.273753448
514,0.058777106,0.274746428
515,0.059733037,0.275583393
516,0.060923192,0.27677498
517,0.062239825,0.277987232
518,0.063460984,0.27899349
519,0.064686072,0.279904101
520,0.066009611,0.281196281
521,0.067313775,0.28228821
522,0.068611129,0.28342273
523,0.06996206,0.284901708
524,0.071173434,0.285962075
525,0.072311344,0.287000112
526,0.073488025,0.288254795
527,0.074620458,0.289359063
528,0.075742568,0.290389603
529,0.076952203,0.291977382
530,0.077964777,0.293109424
531,0.07893529,0.294597137
532,0.079769526,0.295833214
533,0.080483604,0.296817119
534,0.081261283,0.298176174
535,0.081948317,0.299525161
536,0.082564407,0.300892426
537,0.083103584,0.302225683
538,0.08365587,0.303642823
539,0.084092018,0.304746345
540,0.08459456,0.306248225
541,0.08501516,0.307339096
542,0.085438884,0.30846501
543,0.085933346,0.30995892
544,0.086366791,0.311587034
545,0.08669516,0.312923263
546,0.087103862,0.314543397
547,0.087554975,0.316200526
548,0.087847651,0.317428446
549,0.08822091,0.318998589
550,0.088671564,0.32067351
551,0.088877263,0.321821306
552,0.089162171,0.323416812
553,0.089432348,0.32492117
554,0.089587999,0.326349416
555,0.089704429,0.327719585
556,0.089772542,0.32896542
557,0.08971348,0.330134095
558,0.089729818,0.331784033
559,0.089688331,0.333468936
560,0.08943987,0.334865551
561,0.089158892,0.336179671
562,0.088877771,0.337579534
563,0.088525958,0.338909483
564,0.088050681,0.340095669
565,0.087543532,0.341239119
566,0.087015924,0.342265113
567,0.086443028,0.343391411
568,0.085875982,0.344792873
569,0.085185569,0.345792772
570,0.084721579,0.347202683
571,0.083978479,0.347918271
572,0.083272834,0.348912582
573,0.082788903,0.350280356
574,0.082148332,0.351021704
575,0.081557557,0.351863819
576,0.081021075,0.352709682
577,0.080519485,0.353591425
578,0.080099815,0.35465902
579,0.079709051,0.355665286
580,0.079275304,0.356328612
581,0.07888192,0.357090083
582,0.078521421,0.357752576
583,0.078251964,0.358296258
584,0.077921696,0.358897601
585,0.077679518,0.35981542
586,0.077439707,0.360412576
587,0.077322282,0.361194174
588,0.077106555,0.361765583
589,0.076732091,0.361835357
590,0.076581697,0.362445376
591,0.076510501,0.3633908
592,0.0762907,0.363641834
593,0.076192427,0.364498037
594,0.076044335,0.364966284
595,0.075914916,0.365277125
596,0.075931864,0.36605048
597,0.075857745,0.366568256
598,0.075838675,0.366990908
599,0.075875521,0.367553775
600,0.075738246,0.36765964
601,0.075602892,0.367684419
602,0.075485015,0.367938698
603,0.075337894,0.368218385
604,0.075337348,0.368693038
605,0.075134367,0.368827921
606,0.074887514,0.369076622
607,0.074698366,0.369066522
608,0.074521359,0.369306609
609,0.074405365,0.369844299
610,0.074205328,0.369844902
611,0.073892601,0.369850499
612,0.073621886,0.370037433
613,0.073374467,0.370180679
614,0.073121627,0.370361959
615,0.072886865,0.370674649
616,0.072600014,0.370509796
617,0.072442811,0.370581714
618,0.072258099,0.370845188
619,0.072030015,0.370733856
620,0.071927052,0.371055131
621,0.071766815,0.371162554
622,0.071643266,0.370892805
623,0.071614319,0.371217956
